WKT,OBJECTID,STATION_ID,ASSET_ID,NAME,LONGNAME,LINES,BRANCH_ID,STATUS,MILEPOST,FAREZONE,ADA,ADA2,PKNRD,BIKEPKNG,TICKET_AVA,ADDRESS,MUNICIPALI,TELEPHONE,WEBLINK,LABELANGLE,EDIT_INIT,EDIT_DATE,YEAR_OPEN
"MULTIPOINT (-87.586850373841216 41.766010498485052)",1,1091.00000000,51201091.00000000,Stony Island,Stony Island,Electric,1,1,9.10000000,B,0,N,0,0,,71st St. (at Stony Island Ave.),Chicago,,,30,ks,1995/08/02,
"MULTIPOINT (-87.576996681714249 41.7661151551738)",2,1097.00000000,51201097.00000000,Bryn Mawr,Bryn Mawr,Electric,1,1,9.70000000,B,0,N,0,0,,71st St. (at Jeffrey Blvd.),Chicago,,,30,ks,1995/08/02,
"MULTIPOINT (-87.565714216694062 41.765242834472325)",3,1103.00000000,51201103.00000000,South Shore,South Shore,Electric,1,1,10.30000000,B,0,N,1,0,,71st St. (near Yates and South Shore Dr.),Chicago,,,0,ks,1995/08/02,
"MULTIPOINT (-87.559628872988185 41.758508133004639)",4,1109.00000000,51201109.00000000,Windsor Park,Windsor Park,Electric,1,1,10.90000000,B,0,N,1,0,,75th St. (at Exchange Ave.),Chicago,,,0,ks,1995/08/02,
"MULTIPOINT (-87.552851718999563 41.752320531484997)",5,1115.00000000,51201115.00000000,Cheltenham,Cheltenham (79th Street),Electric,1,1,11.50000000,B,1,N,1,0,,79th St. (at Exchange Ave.),Chicago,,,0,ks,1995/08/02,
"MULTIPOINT (-87.551556119031289 41.745013286269668)",6,1120.00000000,51201120.00000000,83rd St.,83rd Street,Electric,1,1,12.00000000,B,0,N,1,0,,83rd St. (at Exchange Ave.),Chicago,,,0,ks,1995/08/02,
"MULTIPOINT (-87.548167840782995 41.737747994875313)",7,1125.00000000,51201125.00000000,87th St.,87th Street,Electric,1,1,12.50000000,B,0,N,1,0,,87th St. (1 blk. E. of Commercial Ave.),Chicago,,,0,ks,1995/08/02,
"MULTIPOINT (-87.547785290504862 41.727437352595601)",8,1130.00000000,51201130.00000000,91st St.,91st Street (South Chicago),Electric,1,1,13.00000000,B,0,N,1,0,,91st St. (near Baltimore St.),Chicago,,,0,ks,1995/08/02,
"MULTIPOINT (-87.546236316544679 41.64827213933556)",9,3190.00000000,51203190.00000000,Hegewisch,Hegewisch,S. Shore,3,1,19.00000000,3,0,A,1,0,,13730 South Brainard Ave.,Chicago,,,0,ks,1995/08/02,
"MULTIPOINT (-87.62160636964272 41.67443415761781)",10,4156.00000000,51204156.00000000,State St.,State Street,Electric,4,1,15.60000000,D,1,N,0,0,,State St. (S. of 120th Pl.),Chicago,,,135,ks,1995/08/02,
